algorithm,n,time
cubic,30,0.38278722763061523
cubic,30,0.297177791595459
cubic,30,0.42959165573120117
cubic,30,0.3928647041320801
cubic,30,0.3962705135345459
cubic,42,0.39467453956604004
cubic,42,0.39399242401123047
cubic,42,0.4030792713165283
cubic,42,0.3717186450958252
cubic,42,0.3653740882873535
cubic,59,0.3710324764251709
cubic,59,0.40371203422546387
cubic,59,0.44533777236938477
cubic,59,0.39800095558166504
cubic,59,0.4010500907897949
cubic,84,0.41726255416870117
cubic,84,0.40389323234558105
cubic,84,0.4227151870727539
cubic,84,0.341749906539917
cubic,84,0.3945324420928955
cubic,118,0.3883979320526123
cubic,118,0.4295828342437744
cubic,118,0.46642279624938965
cubic,118,0.36930346488952637
cubic,118,0.4575467109680176
cubic,167,0.3956015110015869
cubic,167,0.42557501792907715
cubic,167,0.4692986011505127
cubic,167,0.4050171375274658
cubic,167,0.44507694244384766
cubic,235,0.3962886333465576
cubic,235,0.4470491409301758
cubic,235,0.4844021797180176
cubic,235,0.4089691638946533
cubic,235,0.49026966094970703
cubic,332,0.42487668991088867
cubic,332,0.442521333694458
cubic,332,0.4263925552368164
cubic,332,0.45270371437072754
cubic,332,0.4172344207763672
cubic,468,0.47304415702819824
cubic,468,0.4102592468261719
cubic,468,0.44345808029174805
cubic,468,0.455394983291626
cubic,468,0.40914440155029297
cubic,660,0.5709578990936279
cubic,660,0.4853699207305908
cubic,660,0.490664005279541
cubic,660,0.463458776473999
cubic,660,0.5442471504211426
cubic,931,0.5128228664398193
cubic,931,0.5549733638763428
cubic,931,0.5139036178588867
cubic,931,0.5373854637145996
cubic,931,0.4770960807800293
cubic,1313,0.6289920806884766
cubic,1313,0.6074461936950684
cubic,1313,0.6054878234863281
cubic,1313,0.5857148170471191
cubic,1313,0.5945980548858643
cubic,1852,0.9346864223480225
cubic,1852,0.9513018131256104
cubic,1852,0.8081820011138916
cubic,1852,0.8848311901092529
cubic,1852,0.9146628379821777
cubic,2611,1.7043030261993408
cubic,2611,1.583585500717163
cubic,2611,1.6682822704315186
cubic,2611,1.718808889389038
cubic,2611,1.6306345462799072
cubic,3682,3.5675594806671143
cubic,3682,3.654794931411743
cubic,3682,3.5825440883636475
cubic,3682,3.572465658187866
cubic,3682,3.7258057594299316
cubic,5192,9.032701253890991
cubic,5192,10.027310609817505
cubic,5192,9.901929140090942
cubic,5192,9.1331627368927
cubic,5192,9.22190237045288
cubic,7321,25.177101135253906
cubic,7321,25.167144060134888
cubic,7321,24.989789247512817
cubic,7321,24.725464344024658
cubic,7321,25.055628538131714
quadratic,30,0.32066965103149414
quadratic,30,0.34396815299987793
quadratic,30,0.3277614116668701
quadratic,30,0.3975644111633301
quadratic,30,0.3133656978607178
quadratic,42,0.3520987033843994
quadratic,42,0.334059476852417
quadratic,42,0.3279752731323242
quadratic,42,0.38007116317749023
quadratic,42,0.30563783645629883
quadratic,59,0.2979247570037842
quadratic,59,0.345325231552124
quadratic,59,0.3095836639404297
quadratic,59,0.3594324588775635
quadratic,59,0.3614466190338135
quadratic,84,0.363086462020874
quadratic,84,0.3348677158355713
quadratic,84,0.3360586166381836
quadratic,84,0.338329553604126
quadratic,84,0.3466167449951172
quadratic,118,0.33626532554626465
quadratic,118,0.32350850105285645
quadratic,118,0.3496546745300293
quadratic,118,0.3607442378997803
quadratic,118,0.34881091117858887
quadratic,167,0.3491780757904053
quadratic,167,0.34407734870910645
quadratic,167,0.2936439514160156
quadratic,167,0.3306145668029785
quadratic,167,0.3716471195220947
quadratic,235,0.3281090259552002
quadratic,235,0.3727407455444336
quadratic,235,0.3600599765777588
quadratic,235,0.37756991386413574
quadratic,235,0.38136720657348633
quadratic,332,0.32421255111694336
quadratic,332,0.32524895668029785
quadratic,332,0.3275125026702881
quadratic,332,0.36504244804382324
quadratic,332,0.3346982002258301
quadratic,468,0.3581969738006592
quadratic,468,0.3672792911529541
quadratic,468,0.3513143062591553
quadratic,468,0.3784959316253662
quadratic,468,0.3628876209259033
quadratic,660,0.37431979179382324
quadratic,660,0.403057336807251
quadratic,660,0.38088154792785645
quadratic,660,0.34232378005981445
quadratic,660,0.29489684104919434
quadratic,931,0.2988588809967041
quadratic,931,0.4157276153564453
quadratic,931,0.38442468643188477
quadratic,931,0.41619205474853516
quadratic,931,0.42470765113830566
quadratic,1313,0.40453553199768066
quadratic,1313,0.45948314666748047
quadratic,1313,0.455427885055542
quadratic,1313,0.46493005752563477
quadratic,1313,0.4131956100463867
quadratic,1852,0.4272284507751465
quadratic,1852,0.35010290145874023
quadratic,1852,0.3971374034881592
quadratic,1852,0.44914865493774414
quadratic,1852,0.37981557846069336
quadratic,2611,0.41281890869140625
quadratic,2611,0.4399991035461426
quadratic,2611,0.4951775074005127
quadratic,2611,0.4602680206298828
quadratic,2611,0.3839294910430908
quadratic,3682,0.4358682632446289
quadratic,3682,0.43319153785705566
quadratic,3682,0.4125046730041504
quadratic,3682,0.43389129638671875
quadratic,3682,0.46522068977355957
quadratic,5192,0.403942346572876
quadratic,5192,0.4545443058013916
quadratic,5192,0.4689950942993164
quadratic,5192,0.4453704357147217
quadratic,5192,0.4843466281890869
quadratic,7321,0.3926839828491211
quadratic,7321,0.39660191535949707
quadratic,7321,0.44673752784729004
quadratic,7321,0.419586181640625
quadratic,7321,0.4039738178253174
quadratic,10323,0.4355027675628662
quadratic,10323,0.473787784576416
quadratic,10323,0.44287705421447754
quadratic,10323,0.4685981273651123
quadratic,10323,0.5062432289123535
quadratic,14556,0.5109267234802246
quadratic,14556,0.510490894317627
quadratic,14556,0.5746698379516602
quadratic,14556,0.5410301685333252
quadratic,14556,0.6071460247039795
quadratic,20525,0.5763731002807617
quadratic,20525,0.5914652347564697
quadratic,20525,0.572195291519165
quadratic,20525,0.6026365756988525
quadratic,20525,0.6442782878875732
quadratic,28940,0.7743127346038818
quadratic,28940,0.846771240234375
quadratic,28940,0.8002581596374512
quadratic,28940,0.7896833419799805
quadratic,28940,0.7563250064849854
quadratic,40805,0.9876708984375
quadratic,40805,0.9424195289611816
quadratic,40805,1.0001575946807861
quadratic,40805,0.9243745803833008
quadratic,40805,1.0693023204803467
quadratic,57536,1.764324426651001
quadratic,57536,1.8914697170257568
quadratic,57536,1.4432768821716309
quadratic,57536,1.5435988903045654
quadratic,57536,1.4292490482330322
quadratic,81126,2.4225473403930664
quadratic,81126,2.39033579826355
quadratic,81126,2.3450353145599365
quadratic,81126,2.325634717941284
quadratic,81126,2.3565642833709717
quadratic,114387,4.110441446304321
quadratic,114387,4.140509128570557
quadratic,114387,4.204297304153442
quadratic,114387,4.1651856899261475
quadratic,114387,4.157522201538086
quadratic,161286,10.141882419586182
quadratic,161286,10.141207695007324
quadratic,161286,7.571441650390625
quadratic,161286,7.632147550582886
quadratic,161286,9.98609733581543
quadratic,227414,14.622700452804565
quadratic,227414,19.720815420150757
quadratic,227414,14.787632465362549
quadratic,227414,14.917714357376099
quadratic,227414,14.752366065979004
quadratic,320654,28.986305713653564
quadratic,320654,29.2423357963562
quadratic,320654,28.93549418449402
quadratic,320654,28.67527461051941
quadratic,320654,28.76472783088684
hashmap,30,0.3942582607269287
hashmap,30,0.3203408718109131
hashmap,30,0.41131019592285156
hashmap,30,0.43817567825317383
hashmap,30,0.34885478019714355
hashmap,42,0.3633451461791992
hashmap,42,0.40852952003479004
hashmap,42,0.2715122699737549
hashmap,42,0.3415224552154541
hashmap,42,0.3414177894592285
hashmap,59,0.2849464416503906
hashmap,59,0.3008608818054199
hashmap,59,0.4360165596008301
hashmap,59,0.4247405529022217
hashmap,59,0.4348933696746826
hashmap,84,0.39760446548461914
hashmap,84,0.34333133697509766
hashmap,84,0.39147400856018066
hashmap,84,0.32683372497558594
hashmap,84,0.28927063941955566
hashmap,118,0.39757728576660156
hashmap,118,0.4290947914123535
hashmap,118,0.4112548828125
hashmap,118,0.4344828128814697
hashmap,118,0.3092818260192871
hashmap,167,0.3686869144439697
hashmap,167,0.4763336181640625
hashmap,167,0.461575984954834
hashmap,167,0.39995789527893066
hashmap,167,0.39058470726013184
hashmap,235,0.3823094367980957
hashmap,235,0.37306976318359375
hashmap,235,0.40135931968688965
hashmap,235,0.3693654537200928
hashmap,235,0.35112881660461426
hashmap,332,0.43097734451293945
hashmap,332,0.44478535652160645
hashmap,332,0.39516258239746094
hashmap,332,0.48551082611083984
hashmap,332,0.41689419746398926
hashmap,468,0.4592702388763428
hashmap,468,0.4488065242767334
hashmap,468,0.4552497863769531
hashmap,468,0.40868043899536133
hashmap,468,0.45009422302246094
hashmap,660,0.433530330657959
hashmap,660,0.4748525619506836
hashmap,660,0.4735832214355469
hashmap,660,0.4455864429473877
hashmap,660,0.4748556613922119
hashmap,931,0.45621538162231445
hashmap,931,0.4196662902832031
hashmap,931,0.46372056007385254
hashmap,931,0.4043610095977783
hashmap,931,0.39438915252685547
hashmap,1313,0.4175221920013428
hashmap,1313,0.4734375476837158
hashmap,1313,0.4688374996185303
hashmap,1313,0.53955078125
hashmap,1313,0.3931996822357178
hashmap,1852,0.5237417221069336
hashmap,1852,0.5535576343536377
hashmap,1852,0.5037732124328613
hashmap,1852,0.548149824142456
hashmap,1852,0.4287707805633545
hashmap,2611,0.4548923969268799
hashmap,2611,0.5311696529388428
hashmap,2611,0.5280787944793701
hashmap,2611,0.5731899738311768
hashmap,2611,0.471362829208374
hashmap,3682,0.5711479187011719
hashmap,3682,0.6088075637817383
hashmap,3682,0.6264016628265381
hashmap,3682,0.6165099143981934
hashmap,3682,0.5429210662841797
hashmap,5192,0.7720797061920166
hashmap,5192,0.7567176818847656
hashmap,5192,0.7617347240447998
hashmap,5192,0.7828381061553955
hashmap,5192,0.7791445255279541
hashmap,7321,1.0207128524780273
hashmap,7321,0.9507074356079102
hashmap,7321,0.9622290134429932
hashmap,7321,0.930305004119873
hashmap,7321,0.9606258869171143
hashmap,10323,1.467787265777588
hashmap,10323,1.4820563793182373
hashmap,10323,1.407069206237793
hashmap,10323,1.4404754638671875
hashmap,10323,1.4758970737457275
hashmap,14556,2.1008787155151367
hashmap,14556,1.8741848468780518
hashmap,14556,1.9405670166015625
hashmap,14556,2.0333611965179443
hashmap,14556,2.032803535461426
hashmap,20525,3.8840906620025635
hashmap,20525,3.879749298095703
hashmap,20525,3.988274335861206
hashmap,20525,3.8260724544525146
hashmap,20525,3.9135658740997314
hashmap,28940,6.382593154907227
hashmap,28940,6.309855222702026
hashmap,28940,6.2633888721466064
hashmap,28940,6.233782529830933
hashmap,28940,7.0162272453308105
hashmap,40805,14.552478313446045
hashmap,40805,15.173556089401245
hashmap,40805,14.125210523605347
hashmap,40805,13.68106722831726
hashmap,40805,14.725728750228882
hashmap,57536,25.154071807861328
hashmap,57536,26.28184700012207
hashmap,57536,26.54597759246826
hashmap,57536,26.144679307937622
hashmap,57536,25.24260640144348
